Level,Expression,Value,Location,Refresh,Access
0,"extractionBuffer",,0x20005EDC,"Off","private"
 1,"[0]",,0x20005EDC,"Off","public"
  2,"xBuffer",-93,0x20005EDC,"Off","public"
  2,"yBuffer",-221,0x20005EDE,"Off","public"
  2,"zBuffer",7,0x20005EE0,"Off","public"
 1,"[1]",,0x20005EE2,"Off","public"
  2,"xBuffer",-91,0x20005EE2,"Off","public"
  2,"yBuffer",-9,0x20005EE4,"Off","public"
  2,"zBuffer",7,0x20005EE6,"Off","public"
 1,"[2]",,0x20005EE8,"Off","public"
  2,"xBuffer",47,0x20005EE8,"Off","public"
  2,"yBuffer",-96,0x20005EEA,"Off","public"
  2,"zBuffer",-36,0x20005EEC,"Off","public"
 1,"[3]",,0x20005EEE,"Off","public"
  2,"xBuffer",-116,0x20005EEE,"Off","public"
  2,"yBuffer",-96,0x20005EF0,"Off","public"
  2,"zBuffer",41,0x20005EF2,"Off","public"
 1,"[4]",,0x20005EF4,"Off","public"
  2,"xBuffer",-14,0x20005EF4,"Off","public"
  2,"yBuffer",-105,0x20005EF6,"Off","public"
  2,"zBuffer",46,0x20005EF8,"Off","public"
 1,"[5]",,0x20005EFA,"Off","public"
  2,"xBuffer",-13,0x20005EFA,"Off","public"
  2,"yBuffer",149,0x20005EFC,"Off","public"
  2,"zBuffer",55,0x20005EFE,"Off","public"
 1,"[6]",,0x20005F00,"Off","public"
  2,"xBuffer",26,0x20005F00,"Off","public"
  2,"yBuffer",65,0x20005F02,"Off","public"
  2,"zBuffer",54,0x20005F04,"Off","public"
 1,"[7]",,0x20005F06,"Off","public"
  2,"xBuffer",36,0x20005F06,"Off","public"
  2,"yBuffer",121,0x20005F08,"Off","public"
  2,"zBuffer",58,0x20005F0A,"Off","public"
 1,"[8]",,0x20005F0C,"Off","public"
  2,"xBuffer",-308,0x20005F0C,"Off","public"
  2,"yBuffer",127,0x20005F0E,"Off","public"
  2,"zBuffer",7,0x20005F10,"Off","public"
 1,"[9]",,0x20005F12,"Off","public"
  2,"xBuffer",-3127,0x20005F12,"Off","public"
  2,"yBuffer",723,0x20005F14,"Off","public"
  2,"zBuffer",-4461,0x20005F16,"Off","public"
 1,"[10]",,0x20005F18,"Off","public"
  2,"xBuffer",-2069,0x20005F18,"Off","public"
  2,"yBuffer",712,0x20005F1A,"Off","public"
  2,"zBuffer",-14470,0x20005F1C,"Off","public"
 1,"[11]",,0x20005F1E,"Off","public"
  2,"xBuffer",-2039,0x20005F1E,"Off","public"
  2,"yBuffer",793,0x20005F20,"Off","public"
  2,"zBuffer",-14240,0x20005F22,"Off","public"
 1,"[12]",,0x20005F24,"Off","public"
  2,"xBuffer",319,0x20005F24,"Off","public"
  2,"yBuffer",4917,0x20005F26,"Off","public"
  2,"zBuffer",-24409,0x20005F28,"Off","public"
 1,"[13]",,0x20005F2A,"Off","public"
  2,"xBuffer",4226,0x20005F2A,"Off","public"
  2,"yBuffer",5510,0x20005F2C,"Off","public"
  2,"zBuffer",-30723,0x20005F2E,"Off","public"
 1,"[14]",,0x20005F30,"Off","public"
  2,"xBuffer",5693,0x20005F30,"Off","public"
  2,"yBuffer",-3532,0x20005F32,"Off","public"
  2,"zBuffer",-30242,0x20005F34,"Off","public"
 1,"[15]",,0x20005F36,"Off","public"
  2,"xBuffer",5515,0x20005F36,"Off","public"
  2,"yBuffer",273,0x20005F38,"Off","public"
  2,"zBuffer",-29768,0x20005F3A,"Off","public"
 1,"[16]",,0x20005F3C,"Off","public"
  2,"xBuffer",2817,0x20005F3C,"Off","public"
  2,"yBuffer",6065,0x20005F3E,"Off","public"
  2,"zBuffer",4804,0x20005F40,"Off","public"
 1,"[17]",,0x20005F42,"Off","public"
  2,"xBuffer",-15019,0x20005F42,"Off","public"
  2,"yBuffer",1811,0x20005F44,"Off","public"
  2,"zBuffer",-30421,0x20005F46,"Off","public"
 1,"[18]",,0x20005F48,"Off","public"
  2,"xBuffer",-11279,0x20005F48,"Off","public"
  2,"yBuffer",8419,0x20005F4A,"Off","public"
  2,"zBuffer",26351,0x20005F4C,"Off","public"
 1,"[19]",,0x20005F4E,"Off","public"
  2,"xBuffer",7402,0x20005F4E,"Off","public"
  2,"yBuffer",-594,0x20005F50,"Off","public"
  2,"zBuffer",-21687,0x20005F52,"Off","public"
 1,"[20]",,0x20005F54,"Off","public"
  2,"xBuffer",231,0x20005F54,"Off","public"
  2,"yBuffer",-4728,0x20005F56,"Off","public"
  2,"zBuffer",21364,0x20005F58,"Off","public"
 1,"[21]",,0x20005F5A,"Off","public"
  2,"xBuffer",-15439,0x20005F5A,"Off","public"
  2,"yBuffer",5924,0x20005F5C,"Off","public"
  2,"zBuffer",-31484,0x20005F5E,"Off","public"
 1,"[22]",,0x20005F60,"Off","public"
  2,"xBuffer",-105,0x20005F60,"Off","public"
  2,"yBuffer",-4595,0x20005F62,"Off","public"
  2,"zBuffer",-31907,0x20005F64,"Off","public"
 1,"[23]",,0x20005F66,"Off","public"
  2,"xBuffer",14985,0x20005F66,"Off","public"
  2,"yBuffer",5382,0x20005F68,"Off","public"
  2,"zBuffer",3767,0x20005F6A,"Off","public"
 1,"[24]",,0x20005F6C,"Off","public"
  2,"xBuffer",1787,0x20005F6C,"Off","public"
  2,"yBuffer",2164,0x20005F6E,"Off","public"
  2,"zBuffer",-7711,0x20005F70,"Off","public"
 1,"[25]",,0x20005F72,"Off","public"
  2,"xBuffer",-4303,0x20005F72,"Off","public"
  2,"yBuffer",-3060,0x20005F74,"Off","public"
  2,"zBuffer",-15088,0x20005F76,"Off","public"
 1,"[26]",,0x20005F78,"Off","public"
  2,"xBuffer",3385,0x20005F78,"Off","public"
  2,"yBuffer",1655,0x20005F7A,"Off","public"
  2,"zBuffer",18418,0x20005F7C,"Off","public"
 1,"[27]",,0x20005F7E,"Off","public"
  2,"xBuffer",1328,0x20005F7E,"Off","public"
  2,"yBuffer",-3441,0x20005F80,"Off","public"
  2,"zBuffer",14038,0x20005F82,"Off","public"
 1,"[28]",,0x20005F84,"Off","public"
  2,"xBuffer",-1382,0x20005F84,"Off","public"
  2,"yBuffer",-557,0x20005F86,"Off","public"
  2,"zBuffer",8354,0x20005F88,"Off","public"
 1,"[29]",,0x20005F8A,"Off","public"
  2,"xBuffer",3654,0x20005F8A,"Off","public"
  2,"yBuffer",-3837,0x20005F8C,"Off","public"
  2,"zBuffer",8793,0x20005F8E,"Off","public"
 1,"[30]",,0x20005F90,"Off","public"
  2,"xBuffer",5531,0x20005F90,"Off","public"
  2,"yBuffer",-1749,0x20005F92,"Off","public"
  2,"zBuffer",20155,0x20005F94,"Off","public"
 1,"[31]",,0x20005F96,"Off","public"
  2,"xBuffer",570,0x20005F96,"Off","public"
  2,"yBuffer",2136,0x20005F98,"Off","public"
  2,"zBuffer",-2299,0x20005F9A,"Off","public"
 1,"[32]",,0x20005F9C,"Off","public"
  2,"xBuffer",-104,0x20005F9C,"Off","public"
  2,"yBuffer",-4645,0x20005F9E,"Off","public"
  2,"zBuffer",-5630,0x20005FA0,"Off","public"
 1,"[33]",,0x20005FA2,"Off","public"
  2,"xBuffer",-2394,0x20005FA2,"Off","public"
  2,"yBuffer",-1578,0x20005FA4,"Off","public"
  2,"zBuffer",2617,0x20005FA6,"Off","public"
 1,"[34]",,0x20005FA8,"Off","public"
  2,"xBuffer",-952,0x20005FA8,"Off","public"
  2,"yBuffer",-2512,0x20005FAA,"Off","public"
  2,"zBuffer",2095,0x20005FAC,"Off","public"
 1,"[35]",,0x20005FAE,"Off","public"
  2,"xBuffer",507,0x20005FAE,"Off","public"
  2,"yBuffer",1603,0x20005FB0,"Off","public"
  2,"zBuffer",-5332,0x20005FB2,"Off","public"
 1,"[36]",,0x20005FB4,"Off","public"
  2,"xBuffer",2707,0x20005FB4,"Off","public"
  2,"yBuffer",-5100,0x20005FB6,"Off","public"
  2,"zBuffer",-3688,0x20005FB8,"Off","public"
 1,"[37]",,0x20005FBA,"Off","public"
  2,"xBuffer",1229,0x20005FBA,"Off","public"
  2,"yBuffer",-409,0x20005FBC,"Off","public"
  2,"zBuffer",-4298,0x20005FBE,"Off","public"
 1,"[38]",,0x20005FC0,"Off","public"
  2,"xBuffer",396,0x20005FC0,"Off","public"
  2,"yBuffer",-2600,0x20005FC2,"Off","public"
  2,"zBuffer",-9746,0x20005FC4,"Off","public"
 1,"[39]",,0x20005FC6,"Off","public"
  2,"xBuffer",4428,0x20005FC6,"Off","public"
  2,"yBuffer",642,0x20005FC8,"Off","public"
  2,"zBuffer",-9614,0x20005FCA,"Off","public"
 1,"[40]",,0x20005FCC,"Off","public"
  2,"xBuffer",1370,0x20005FCC,"Off","public"
  2,"yBuffer",-3324,0x20005FCE,"Off","public"
  2,"zBuffer",-6219,0x20005FD0,"Off","public"
 1,"[41]",,0x20005FD2,"Off","public"
  2,"xBuffer",569,0x20005FD2,"Off","public"
  2,"yBuffer",-1157,0x20005FD4,"Off","public"
  2,"zBuffer",-2647,0x20005FD6,"Off","public"
 1,"[42]",,0x20005FD8,"Off","public"
  2,"xBuffer",-4456,0x20005FD8,"Off","public"
  2,"yBuffer",-2146,0x20005FDA,"Off","public"
  2,"zBuffer",13777,0x20005FDC,"Off","public"
 1,"[43]",,0x20005FDE,"Off","public"
