Level,Expression,Value,Location,Refresh,Access
0,"extractionBuffer",,0x20005EDC,"Off","private"
 1,"[0]",,0x20005EDC,"Off","public"
  2,"xBuffer",-36,0x20005EDC,"Off","public"
  2,"yBuffer",40,0x20005EDE,"Off","public"
  2,"zBuffer",43,0x20005EE0,"Off","public"
 1,"[1]",,0x20005EE2,"Off","public"
  2,"xBuffer",52,0x20005EE2,"Off","public"
  2,"yBuffer",16,0x20005EE4,"Off","public"
  2,"zBuffer",6,0x20005EE6,"Off","public"
 1,"[2]",,0x20005EE8,"Off","public"
  2,"xBuffer",48,0x20005EE8,"Off","public"
  2,"yBuffer",0,0x20005EEA,"Off","public"
  2,"zBuffer",48,0x20005EEC,"Off","public"
 1,"[3]",,0x20005EEE,"Off","public"
  2,"xBuffer",50,0x20005EEE,"Off","public"
  2,"yBuffer",-35,0x20005EF0,"Off","public"
  2,"zBuffer",-30,0x20005EF2,"Off","public"
 1,"[4]",,0x20005EF4,"Off","public"
  2,"xBuffer",-7,0x20005EF4,"Off","public"
  2,"yBuffer",-67,0x20005EF6,"Off","public"
  2,"zBuffer",-9,0x20005EF8,"Off","public"
 1,"[5]",,0x20005EFA,"Off","public"
  2,"xBuffer",32,0x20005EFA,"Off","public"
  2,"yBuffer",46,0x20005EFC,"Off","public"
  2,"zBuffer",76,0x20005EFE,"Off","public"
 1,"[6]",,0x20005F00,"Off","public"
  2,"xBuffer",-13,0x20005F00,"Off","public"
  2,"yBuffer",83,0x20005F02,"Off","public"
  2,"zBuffer",26,0x20005F04,"Off","public"
 1,"[7]",,0x20005F06,"Off","public"
  2,"xBuffer",2,0x20005F06,"Off","public"
  2,"yBuffer",-49,0x20005F08,"Off","public"
  2,"zBuffer",-21,0x20005F0A,"Off","public"
 1,"[8]",,0x20005F0C,"Off","public"
  2,"xBuffer",-41,0x20005F0C,"Off","public"
  2,"yBuffer",64,0x20005F0E,"Off","public"
  2,"zBuffer",1057,0x20005F10,"Off","public"
 1,"[9]",,0x20005F12,"Off","public"
  2,"xBuffer",-1742,0x20005F12,"Off","public"
  2,"yBuffer",723,0x20005F14,"Off","public"
  2,"zBuffer",-3835,0x20005F16,"Off","public"
 1,"[10]",,0x20005F18,"Off","public"
  2,"xBuffer",276,0x20005F18,"Off","public"
  2,"yBuffer",425,0x20005F1A,"Off","public"
  2,"zBuffer",-1177,0x20005F1C,"Off","public"
 1,"[11]",,0x20005F1E,"Off","public"
  2,"xBuffer",979,0x20005F1E,"Off","public"
  2,"yBuffer",-1470,0x20005F20,"Off","public"
  2,"zBuffer",977,0x20005F22,"Off","public"
 1,"[12]",,0x20005F24,"Off","public"
  2,"xBuffer",-855,0x20005F24,"Off","public"
  2,"yBuffer",2347,0x20005F26,"Off","public"
  2,"zBuffer",-1802,0x20005F28,"Off","public"
 1,"[13]",,0x20005F2A,"Off","public"
  2,"xBuffer",1559,0x20005F2A,"Off","public"
  2,"yBuffer",-1753,0x20005F2C,"Off","public"
  2,"zBuffer",-2324,0x20005F2E,"Off","public"
 1,"[14]",,0x20005F30,"Off","public"
  2,"xBuffer",-2989,0x20005F30,"Off","public"
  2,"yBuffer",-76,0x20005F32,"Off","public"
  2,"zBuffer",-2806,0x20005F34,"Off","public"
 1,"[15]",,0x20005F36,"Off","public"
  2,"xBuffer",3574,0x20005F36,"Off","public"
  2,"yBuffer",1183,0x20005F38,"Off","public"
  2,"zBuffer",814,0x20005F3A,"Off","public"
 1,"[16]",,0x20005F3C,"Off","public"
  2,"xBuffer",-611,0x20005F3C,"Off","public"
  2,"yBuffer",-2249,0x20005F3E,"Off","public"
  2,"zBuffer",1214,0x20005F40,"Off","public"
 1,"[17]",,0x20005F42,"Off","public"
  2,"xBuffer",-4102,0x20005F42,"Off","public"
  2,"yBuffer",-37,0x20005F44,"Off","public"
  2,"zBuffer",-3052,0x20005F46,"Off","public"
 1,"[18]",,0x20005F48,"Off","public"
  2,"xBuffer",-839,0x20005F48,"Off","public"
  2,"yBuffer",17,0x20005F4A,"Off","public"
  2,"zBuffer",-4094,0x20005F4C,"Off","public"
 1,"[19]",,0x20005F4E,"Off","public"
  2,"xBuffer",3752,0x20005F4E,"Off","public"
  2,"yBuffer",964,0x20005F50,"Off","public"
  2,"zBuffer",-2485,0x20005F52,"Off","public"
 1,"[20]",,0x20005F54,"Off","public"
  2,"xBuffer",589,0x20005F54,"Off","public"
  2,"yBuffer",-2936,0x20005F56,"Off","public"
  2,"zBuffer",-935,0x20005F58,"Off","public"
 1,"[21]",,0x20005F5A,"Off","public"
  2,"xBuffer",-4010,0x20005F5A,"Off","public"
  2,"yBuffer",885,0x20005F5C,"Off","public"
  2,"zBuffer",8324,0x20005F5E,"Off","public"
 1,"[22]",,0x20005F60,"Off","public"
  2,"xBuffer",2986,0x20005F60,"Off","public"
  2,"yBuffer",350,0x20005F62,"Off","public"
  2,"zBuffer",1341,0x20005F64,"Off","public"
 1,"[23]",,0x20005F66,"Off","public"
  2,"xBuffer",-1552,0x20005F66,"Off","public"
  2,"yBuffer",-963,0x20005F68,"Off","public"
  2,"zBuffer",1840,0x20005F6A,"Off","public"
 1,"[24]",,0x20005F6C,"Off","public"
  2,"xBuffer",313,0x20005F6C,"Off","public"
  2,"yBuffer",743,0x20005F6E,"Off","public"
  2,"zBuffer",1950,0x20005F70,"Off","public"
 1,"[25]",,0x20005F72,"Off","public"
  2,"xBuffer",229,0x20005F72,"Off","public"
  2,"yBuffer",1484,0x20005F74,"Off","public"
  2,"zBuffer",5506,0x20005F76,"Off","public"
 1,"[26]",,0x20005F78,"Off","public"
  2,"xBuffer",787,0x20005F78,"Off","public"
  2,"yBuffer",-1171,0x20005F7A,"Off","public"
  2,"zBuffer",1229,0x20005F7C,"Off","public"
 1,"[27]",,0x20005F7E,"Off","public"
  2,"xBuffer",-837,0x20005F7E,"Off","public"
  2,"yBuffer",1588,0x20005F80,"Off","public"
  2,"zBuffer",4384,0x20005F82,"Off","public"
 1,"[28]",,0x20005F84,"Off","public"
  2,"xBuffer",-2233,0x20005F84,"Off","public"
  2,"yBuffer",-452,0x20005F86,"Off","public"
  2,"zBuffer",-5125,0x20005F88,"Off","public"
 1,"[29]",,0x20005F8A,"Off","public"
  2,"xBuffer",-2197,0x20005F8A,"Off","public"
  2,"yBuffer",-355,0x20005F8C,"Off","public"
  2,"zBuffer",-5044,0x20005F8E,"Off","public"
 1,"[30]",,0x20005F90,"Off","public"
  2,"xBuffer",3826,0x20005F90,"Off","public"
  2,"yBuffer",1910,0x20005F92,"Off","public"
  2,"zBuffer",1869,0x20005F94,"Off","public"
 1,"[31]",,0x20005F96,"Off","public"
  2,"xBuffer",-3118,0x20005F96,"Off","public"
  2,"yBuffer",-1258,0x20005F98,"Off","public"
  2,"zBuffer",2086,0x20005F9A,"Off","public"
 1,"[32]",,0x20005F9C,"Off","public"
  2,"xBuffer",103,0x20005F9C,"Off","public"
  2,"yBuffer",2431,0x20005F9E,"Off","public"
  2,"zBuffer",487,0x20005FA0,"Off","public"
 1,"[33]",,0x20005FA2,"Off","public"
  2,"xBuffer",1109,0x20005FA2,"Off","public"
  2,"yBuffer",2393,0x20005FA4,"Off","public"
  2,"zBuffer",-4164,0x20005FA6,"Off","public"
 1,"[34]",,0x20005FA8,"Off","public"
  2,"xBuffer",1039,0x20005FA8,"Off","public"
  2,"yBuffer",-1060,0x20005FAA,"Off","public"
  2,"zBuffer",-4098,0x20005FAC,"Off","public"
 1,"[35]",,0x20005FAE,"Off","public"
  2,"xBuffer",-460,0x20005FAE,"Off","public"
  2,"yBuffer",1375,0x20005FB0,"Off","public"
  2,"zBuffer",133,0x20005FB2,"Off","public"
 1,"[36]",,0x20005FB4,"Off","public"
  2,"xBuffer",-198,0x20005FB4,"Off","public"
  2,"yBuffer",-667,0x20005FB6,"Off","public"
  2,"zBuffer",-2953,0x20005FB8,"Off","public"
 1,"[37]",,0x20005FBA,"Off","public"
  2,"xBuffer",274,0x20005FBA,"Off","public"
  2,"yBuffer",317,0x20005FBC,"Off","public"
  2,"zBuffer",-1589,0x20005FBE,"Off","public"
 1,"[38]",,0x20005FC0,"Off","public"
  2,"xBuffer",270,0x20005FC0,"Off","public"
  2,"yBuffer",312,0x20005FC2,"Off","public"
  2,"zBuffer",-1311,0x20005FC4,"Off","public"
 1,"[39]",,0x20005FC6,"Off","public"
  2,"xBuffer",1939,0x20005FC6,"Off","public"
  2,"yBuffer",-431,0x20005FC8,"Off","public"
  2,"zBuffer",-1415,0x20005FCA,"Off","public"
 1,"[40]",,0x20005FCC,"Off","public"
  2,"xBuffer",-1298,0x20005FCC,"Off","public"
  2,"yBuffer",129,0x20005FCE,"Off","public"
  2,"zBuffer",270,0x20005FD0,"Off","public"
 1,"[41]",,0x20005FD2,"Off","public"
  2,"xBuffer",1625,0x20005FD2,"Off","public"
  2,"yBuffer",31,0x20005FD4,"Off","public"
  2,"zBuffer",-16,0x20005FD6,"Off","public"
 1,"[42]",,0x20005FD8,"Off","public"
  2,"xBuffer",-468,0x20005FD8,"Off","public"
  2,"yBuffer",-227,0x20005FDA,"Off","public"
  2,"zBuffer",3302,0x20005FDC,"Off","public"
 1,"[43]",,0x20005FDE,"Off","public"
  2,"xBuffer",512,0x20005FDE,"Off","public"
