Level,Expression,Value,Location,Refresh,Access
0,"extractionBuffer",,0x20005EDC,"Off","private"
 1,"[0]",,0x20005EDC,"Off","public"
  2,"xBuffer",-9,0x20005EDC,"Off","public"
  2,"yBuffer",-64,0x20005EDE,"Off","public"
  2,"zBuffer",66,0x20005EE0,"Off","public"
 1,"[1]",,0x20005EE2,"Off","public"
  2,"xBuffer",76,0x20005EE2,"Off","public"
  2,"yBuffer",39,0x20005EE4,"Off","public"
  2,"zBuffer",23,0x20005EE6,"Off","public"
 1,"[2]",,0x20005EE8,"Off","public"
  2,"xBuffer",-26,0x20005EE8,"Off","public"
  2,"yBuffer",35,0x20005EEA,"Off","public"
  2,"zBuffer",100,0x20005EEC,"Off","public"
 1,"[3]",,0x20005EEE,"Off","public"
  2,"xBuffer",-25,0x20005EEE,"Off","public"
  2,"yBuffer",34,0x20005EF0,"Off","public"
  2,"zBuffer",350,0x20005EF2,"Off","public"
 1,"[4]",,0x20005EF4,"Off","public"
  2,"xBuffer",49,0x20005EF4,"Off","public"
  2,"yBuffer",-94,0x20005EF6,"Off","public"
  2,"zBuffer",211,0x20005EF8,"Off","public"
 1,"[5]",,0x20005EFA,"Off","public"
  2,"xBuffer",110,0x20005EFA,"Off","public"
  2,"yBuffer",-71,0x20005EFC,"Off","public"
  2,"zBuffer",-200,0x20005EFE,"Off","public"
 1,"[6]",,0x20005F00,"Off","public"
  2,"xBuffer",-31,0x20005F00,"Off","public"
  2,"yBuffer",550,0x20005F02,"Off","public"
  2,"zBuffer",327,0x20005F04,"Off","public"
 1,"[7]",,0x20005F06,"Off","public"
  2,"xBuffer",-736,0x20005F06,"Off","public"
  2,"yBuffer",1058,0x20005F08,"Off","public"
  2,"zBuffer",-165,0x20005F0A,"Off","public"
 1,"[8]",,0x20005F0C,"Off","public"
  2,"xBuffer",728,0x20005F0C,"Off","public"
  2,"yBuffer",-448,0x20005F0E,"Off","public"
  2,"zBuffer",-2955,0x20005F10,"Off","public"
 1,"[9]",,0x20005F12,"Off","public"
  2,"xBuffer",4766,0x20005F12,"Off","public"
  2,"yBuffer",-417,0x20005F14,"Off","public"
  2,"zBuffer",-3400,0x20005F16,"Off","public"
 1,"[10]",,0x20005F18,"Off","public"
  2,"xBuffer",6922,0x20005F18,"Off","public"
  2,"yBuffer",-930,0x20005F1A,"Off","public"
  2,"zBuffer",5321,0x20005F1C,"Off","public"
 1,"[11]",,0x20005F1E,"Off","public"
  2,"xBuffer",2822,0x20005F1E,"Off","public"
  2,"yBuffer",-1051,0x20005F20,"Off","public"
  2,"zBuffer",6760,0x20005F22,"Off","public"
 1,"[12]",,0x20005F24,"Off","public"
  2,"xBuffer",4719,0x20005F24,"Off","public"
  2,"yBuffer",-641,0x20005F26,"Off","public"
  2,"zBuffer",4396,0x20005F28,"Off","public"
 1,"[13]",,0x20005F2A,"Off","public"
  2,"xBuffer",5447,0x20005F2A,"Off","public"
  2,"yBuffer",-670,0x20005F2C,"Off","public"
  2,"zBuffer",-1511,0x20005F2E,"Off","public"
 1,"[14]",,0x20005F30,"Off","public"
  2,"xBuffer",687,0x20005F30,"Off","public"
  2,"yBuffer",3336,0x20005F32,"Off","public"
  2,"zBuffer",-2785,0x20005F34,"Off","public"
 1,"[15]",,0x20005F36,"Off","public"
  2,"xBuffer",-2986,0x20005F36,"Off","public"
  2,"yBuffer",1946,0x20005F38,"Off","public"
  2,"zBuffer",922,0x20005F3A,"Off","public"
 1,"[16]",,0x20005F3C,"Off","public"
  2,"xBuffer",-5193,0x20005F3C,"Off","public"
  2,"yBuffer",728,0x20005F3E,"Off","public"
  2,"zBuffer",574,0x20005F40,"Off","public"
 1,"[17]",,0x20005F42,"Off","public"
  2,"xBuffer",-9679,0x20005F42,"Off","public"
  2,"yBuffer",987,0x20005F44,"Off","public"
  2,"zBuffer",900,0x20005F46,"Off","public"
 1,"[18]",,0x20005F48,"Off","public"
  2,"xBuffer",-4605,0x20005F48,"Off","public"
  2,"yBuffer",-1331,0x20005F4A,"Off","public"
  2,"zBuffer",1460,0x20005F4C,"Off","public"
 1,"[19]",,0x20005F4E,"Off","public"
  2,"xBuffer",-7674,0x20005F4E,"Off","public"
  2,"yBuffer",-2030,0x20005F50,"Off","public"
  2,"zBuffer",453,0x20005F52,"Off","public"
 1,"[20]",,0x20005F54,"Off","public"
  2,"xBuffer",-5605,0x20005F54,"Off","public"
  2,"yBuffer",-1820,0x20005F56,"Off","public"
  2,"zBuffer",842,0x20005F58,"Off","public"
 1,"[21]",,0x20005F5A,"Off","public"
  2,"xBuffer",-7442,0x20005F5A,"Off","public"
  2,"yBuffer",-1211,0x20005F5C,"Off","public"
  2,"zBuffer",-556,0x20005F5E,"Off","public"
 1,"[22]",,0x20005F60,"Off","public"
  2,"xBuffer",-1475,0x20005F60,"Off","public"
  2,"yBuffer",-115,0x20005F62,"Off","public"
  2,"zBuffer",-2816,0x20005F64,"Off","public"
 1,"[23]",,0x20005F66,"Off","public"
  2,"xBuffer",-373,0x20005F66,"Off","public"
  2,"yBuffer",-339,0x20005F68,"Off","public"
  2,"zBuffer",-4891,0x20005F6A,"Off","public"
 1,"[24]",,0x20005F6C,"Off","public"
  2,"xBuffer",248,0x20005F6C,"Off","public"
  2,"yBuffer",974,0x20005F6E,"Off","public"
  2,"zBuffer",-2257,0x20005F70,"Off","public"
 1,"[25]",,0x20005F72,"Off","public"
  2,"xBuffer",-490,0x20005F72,"Off","public"
  2,"yBuffer",1221,0x20005F74,"Off","public"
  2,"zBuffer",1351,0x20005F76,"Off","public"
 1,"[26]",,0x20005F78,"Off","public"
  2,"xBuffer",2679,0x20005F78,"Off","public"
  2,"yBuffer",1326,0x20005F7A,"Off","public"
  2,"zBuffer",1878,0x20005F7C,"Off","public"
 1,"[27]",,0x20005F7E,"Off","public"
  2,"xBuffer",2935,0x20005F7E,"Off","public"
  2,"yBuffer",414,0x20005F80,"Off","public"
  2,"zBuffer",-250,0x20005F82,"Off","public"
 1,"[28]",,0x20005F84,"Off","public"
  2,"xBuffer",1407,0x20005F84,"Off","public"
  2,"yBuffer",426,0x20005F86,"Off","public"
  2,"zBuffer",251,0x20005F88,"Off","public"
 1,"[29]",,0x20005F8A,"Off","public"
  2,"xBuffer",4897,0x20005F8A,"Off","public"
  2,"yBuffer",-702,0x20005F8C,"Off","public"
  2,"zBuffer",-1327,0x20005F8E,"Off","public"
 1,"[30]",,0x20005F90,"Off","public"
  2,"xBuffer",1837,0x20005F90,"Off","public"
  2,"yBuffer",796,0x20005F92,"Off","public"
  2,"zBuffer",-2584,0x20005F94,"Off","public"
 1,"[31]",,0x20005F96,"Off","public"
  2,"xBuffer",2579,0x20005F96,"Off","public"
  2,"yBuffer",577,0x20005F98,"Off","public"
  2,"zBuffer",-2819,0x20005F9A,"Off","public"
 1,"[32]",,0x20005F9C,"Off","public"
  2,"xBuffer",347,0x20005F9C,"Off","public"
  2,"yBuffer",943,0x20005F9E,"Off","public"
  2,"zBuffer",-1847,0x20005FA0,"Off","public"
 1,"[33]",,0x20005FA2,"Off","public"
  2,"xBuffer",253,0x20005FA2,"Off","public"
  2,"yBuffer",336,0x20005FA4,"Off","public"
  2,"zBuffer",-1088,0x20005FA6,"Off","public"
 1,"[34]",,0x20005FA8,"Off","public"
  2,"xBuffer",281,0x20005FA8,"Off","public"
  2,"yBuffer",657,0x20005FAA,"Off","public"
  2,"zBuffer",71,0x20005FAC,"Off","public"
 1,"[35]",,0x20005FAE,"Off","public"
  2,"xBuffer",1930,0x20005FAE,"Off","public"
  2,"yBuffer",-360,0x20005FB0,"Off","public"
  2,"zBuffer",-3124,0x20005FB2,"Off","public"
 1,"[36]",,0x20005FB4,"Off","public"
  2,"xBuffer",1900,0x20005FB4,"Off","public"
  2,"yBuffer",-397,0x20005FB6,"Off","public"
  2,"zBuffer",-3074,0x20005FB8,"Off","public"
 1,"[37]",,0x20005FBA,"Off","public"
  2,"xBuffer",1500,0x20005FBA,"Off","public"
  2,"yBuffer",-377,0x20005FBC,"Off","public"
  2,"zBuffer",-2712,0x20005FBE,"Off","public"
 1,"[38]",,0x20005FC0,"Off","public"
  2,"xBuffer",592,0x20005FC0,"Off","public"
  2,"yBuffer",-1400,0x20005FC2,"Off","public"
  2,"zBuffer",-355,0x20005FC4,"Off","public"
 1,"[39]",,0x20005FC6,"Off","public"
  2,"xBuffer",2998,0x20005FC6,"Off","public"
  2,"yBuffer",-887,0x20005FC8,"Off","public"
  2,"zBuffer",-1363,0x20005FCA,"Off","public"
 1,"[40]",,0x20005FCC,"Off","public"
  2,"xBuffer",683,0x20005FCC,"Off","public"
  2,"yBuffer",-872,0x20005FCE,"Off","public"
  2,"zBuffer",-1697,0x20005FD0,"Off","public"
 1,"[41]",,0x20005FD2,"Off","public"
  2,"xBuffer",533,0x20005FD2,"Off","public"
  2,"yBuffer",-1243,0x20005FD4,"Off","public"
  2,"zBuffer",-1669,0x20005FD6,"Off","public"
 1,"[42]",,0x20005FD8,"Off","public"
  2,"xBuffer",146,0x20005FD8,"Off","public"
  2,"yBuffer",-956,0x20005FDA,"Off","public"
  2,"zBuffer",1491,0x20005FDC,"Off","public"
 1,"[43]",,0x20005FDE,"Off","public"
  2,"xBuffer",-81,0x20005FDE,"Off","public"
