Level,Expression,Value,Location,Refresh,Access
0,"extractionBuffer",,0x20005EDC,"Off","private"
 1,"[0]",,0x20005EDC,"Off","public"
  2,"xBuffer",10,0x20005EDC,"Off","public"
  2,"yBuffer",48,0x20005EDE,"Off","public"
  2,"zBuffer",22,0x20005EE0,"Off","public"
 1,"[1]",,0x20005EE2,"Off","public"
  2,"xBuffer",39,0x20005EE2,"Off","public"
  2,"yBuffer",16,0x20005EE4,"Off","public"
  2,"zBuffer",39,0x20005EE6,"Off","public"
 1,"[2]",,0x20005EE8,"Off","public"
  2,"xBuffer",65,0x20005EE8,"Off","public"
  2,"yBuffer",18,0x20005EEA,"Off","public"
  2,"zBuffer",57,0x20005EEC,"Off","public"
 1,"[3]",,0x20005EEE,"Off","public"
  2,"xBuffer",27,0x20005EEE,"Off","public"
  2,"yBuffer",6,0x20005EF0,"Off","public"
  2,"zBuffer",-32,0x20005EF2,"Off","public"
 1,"[4]",,0x20005EF4,"Off","public"
  2,"xBuffer",9,0x20005EF4,"Off","public"
  2,"yBuffer",-11,0x20005EF6,"Off","public"
  2,"zBuffer",137,0x20005EF8,"Off","public"
 1,"[5]",,0x20005EFA,"Off","public"
  2,"xBuffer",27,0x20005EFA,"Off","public"
  2,"yBuffer",-60,0x20005EFC,"Off","public"
  2,"zBuffer",57,0x20005EFE,"Off","public"
 1,"[6]",,0x20005F00,"Off","public"
  2,"xBuffer",47,0x20005F00,"Off","public"
  2,"yBuffer",-19,0x20005F02,"Off","public"
  2,"zBuffer",-72,0x20005F04,"Off","public"
 1,"[7]",,0x20005F06,"Off","public"
  2,"xBuffer",-6,0x20005F06,"Off","public"
  2,"yBuffer",108,0x20005F08,"Off","public"
  2,"zBuffer",47,0x20005F0A,"Off","public"
 1,"[8]",,0x20005F0C,"Off","public"
  2,"xBuffer",-1094,0x20005F0C,"Off","public"
  2,"yBuffer",2577,0x20005F0E,"Off","public"
  2,"zBuffer",-1589,0x20005F10,"Off","public"
 1,"[9]",,0x20005F12,"Off","public"
  2,"xBuffer",-8912,0x20005F12,"Off","public"
  2,"yBuffer",8875,0x20005F14,"Off","public"
  2,"zBuffer",17372,0x20005F16,"Off","public"
 1,"[10]",,0x20005F18,"Off","public"
  2,"xBuffer",-7535,0x20005F18,"Off","public"
  2,"yBuffer",4192,0x20005F1A,"Off","public"
  2,"zBuffer",-13112,0x20005F1C,"Off","public"
 1,"[11]",,0x20005F1E,"Off","public"
  2,"xBuffer",1295,0x20005F1E,"Off","public"
  2,"yBuffer",-10090,0x20005F20,"Off","public"
  2,"zBuffer",-10700,0x20005F22,"Off","public"
 1,"[12]",,0x20005F24,"Off","public"
  2,"xBuffer",3500,0x20005F24,"Off","public"
  2,"yBuffer",-14141,0x20005F26,"Off","public"
  2,"zBuffer",-6984,0x20005F28,"Off","public"
 1,"[13]",,0x20005F2A,"Off","public"
  2,"xBuffer",11858,0x20005F2A,"Off","public"
  2,"yBuffer",-17645,0x20005F2C,"Off","public"
  2,"zBuffer",-32431,0x20005F2E,"Off","public"
 1,"[14]",,0x20005F30,"Off","public"
  2,"xBuffer",1929,0x20005F30,"Off","public"
  2,"yBuffer",-6613,0x20005F32,"Off","public"
  2,"zBuffer",30366,0x20005F34,"Off","public"
 1,"[15]",,0x20005F36,"Off","public"
  2,"xBuffer",-10700,0x20005F36,"Off","public"
  2,"yBuffer",-1721,0x20005F38,"Off","public"
  2,"zBuffer",-14631,0x20005F3A,"Off","public"
 1,"[16]",,0x20005F3C,"Off","public"
  2,"xBuffer",-10415,0x20005F3C,"Off","public"
  2,"yBuffer",-1639,0x20005F3E,"Off","public"
  2,"zBuffer",-14401,0x20005F40,"Off","public"
 1,"[17]",,0x20005F42,"Off","public"
  2,"xBuffer",-8134,0x20005F42,"Off","public"
  2,"yBuffer",-508,0x20005F44,"Off","public"
  2,"zBuffer",-31922,0x20005F46,"Off","public"
 1,"[18]",,0x20005F48,"Off","public"
  2,"xBuffer",-2063,0x20005F48,"Off","public"
  2,"yBuffer",-2488,0x20005F4A,"Off","public"
  2,"zBuffer",-11703,0x20005F4C,"Off","public"
 1,"[19]",,0x20005F4E,"Off","public"
  2,"xBuffer",13621,0x20005F4E,"Off","public"
  2,"yBuffer",-21500,0x20005F50,"Off","public"
  2,"zBuffer",2177,0x20005F52,"Off","public"
 1,"[20]",,0x20005F54,"Off","public"
  2,"xBuffer",13408,0x20005F54,"Off","public"
  2,"yBuffer",-21163,0x20005F56,"Off","public"
  2,"zBuffer",-23812,0x20005F58,"Off","public"
 1,"[21]",,0x20005F5A,"Off","public"
  2,"xBuffer",4916,0x20005F5A,"Off","public"
  2,"yBuffer",3428,0x20005F5C,"Off","public"
  2,"zBuffer",-23563,0x20005F5E,"Off","public"
 1,"[22]",,0x20005F60,"Off","public"
  2,"xBuffer",5127,0x20005F60,"Off","public"
  2,"yBuffer",-14705,0x20005F62,"Off","public"
  2,"zBuffer",-13124,0x20005F64,"Off","public"
 1,"[23]",,0x20005F66,"Off","public"
  2,"xBuffer",-15662,0x20005F66,"Off","public"
  2,"yBuffer",4833,0x20005F68,"Off","public"
  2,"zBuffer",9660,0x20005F6A,"Off","public"
 1,"[24]",,0x20005F6C,"Off","public"
  2,"xBuffer",-5406,0x20005F6C,"Off","public"
  2,"yBuffer",-7391,0x20005F6E,"Off","public"
  2,"zBuffer",-3757,0x20005F70,"Off","public"
 1,"[25]",,0x20005F72,"Off","public"
  2,"xBuffer",453,0x20005F72,"Off","public"
  2,"yBuffer",4268,0x20005F74,"Off","public"
  2,"zBuffer",11012,0x20005F76,"Off","public"
 1,"[26]",,0x20005F78,"Off","public"
  2,"xBuffer",16295,0x20005F78,"Off","public"
  2,"yBuffer",-3619,0x20005F7A,"Off","public"
  2,"zBuffer",-3819,0x20005F7C,"Off","public"
 1,"[27]",,0x20005F7E,"Off","public"
  2,"xBuffer",6022,0x20005F7E,"Off","public"
  2,"yBuffer",11954,0x20005F80,"Off","public"
  2,"zBuffer",3151,0x20005F82,"Off","public"
 1,"[28]",,0x20005F84,"Off","public"
  2,"xBuffer",4181,0x20005F84,"Off","public"
  2,"yBuffer",4568,0x20005F86,"Off","public"
  2,"zBuffer",3878,0x20005F88,"Off","public"
 1,"[29]",,0x20005F8A,"Off","public"
  2,"xBuffer",-12408,0x20005F8A,"Off","public"
  2,"yBuffer",-479,0x20005F8C,"Off","public"
  2,"zBuffer",24488,0x20005F8E,"Off","public"
 1,"[30]",,0x20005F90,"Off","public"
  2,"xBuffer",-548,0x20005F90,"Off","public"
  2,"yBuffer",6956,0x20005F92,"Off","public"
  2,"zBuffer",-1151,0x20005F94,"Off","public"
 1,"[31]",,0x20005F96,"Off","public"
  2,"xBuffer",3465,0x20005F96,"Off","public"
  2,"yBuffer",5370,0x20005F98,"Off","public"
  2,"zBuffer",12596,0x20005F9A,"Off","public"
 1,"[32]",,0x20005F9C,"Off","public"
  2,"xBuffer",5830,0x20005F9C,"Off","public"
  2,"yBuffer",1855,0x20005F9E,"Off","public"
  2,"zBuffer",9373,0x20005FA0,"Off","public"
 1,"[33]",,0x20005FA2,"Off","public"
  2,"xBuffer",-5669,0x20005FA2,"Off","public"
  2,"yBuffer",9800,0x20005FA4,"Off","public"
  2,"zBuffer",7757,0x20005FA6,"Off","public"
 1,"[34]",,0x20005FA8,"Off","public"
  2,"xBuffer",-8575,0x20005FA8,"Off","public"
  2,"yBuffer",7459,0x20005FAA,"Off","public"
  2,"zBuffer",6408,0x20005FAC,"Off","public"
 1,"[35]",,0x20005FAE,"Off","public"
  2,"xBuffer",-5902,0x20005FAE,"Off","public"
  2,"yBuffer",4450,0x20005FB0,"Off","public"
  2,"zBuffer",22040,0x20005FB2,"Off","public"
 1,"[36]",,0x20005FB4,"Off","public"
  2,"xBuffer",-13393,0x20005FB4,"Off","public"
  2,"yBuffer",12593,0x20005FB6,"Off","public"
  2,"zBuffer",27930,0x20005FB8,"Off","public"
 1,"[37]",,0x20005FBA,"Off","public"
  2,"xBuffer",-501,0x20005FBA,"Off","public"
  2,"yBuffer",9438,0x20005FBC,"Off","public"
  2,"zBuffer",-3074,0x20005FBE,"Off","public"
 1,"[38]",,0x20005FC0,"Off","public"
  2,"xBuffer",4568,0x20005FC0,"Off","public"
  2,"yBuffer",4777,0x20005FC2,"Off","public"
  2,"zBuffer",-8219,0x20005FC4,"Off","public"
 1,"[39]",,0x20005FC6,"Off","public"
  2,"xBuffer",-11163,0x20005FC6,"Off","public"
  2,"yBuffer",7727,0x20005FC8,"Off","public"
  2,"zBuffer",-11683,0x20005FCA,"Off","public"
 1,"[40]",,0x20005FCC,"Off","public"
  2,"xBuffer",2126,0x20005FCC,"Off","public"
  2,"yBuffer",4272,0x20005FCE,"Off","public"
  2,"zBuffer",3146,0x20005FD0,"Off","public"
 1,"[41]",,0x20005FD2,"Off","public"
  2,"xBuffer",2369,0x20005FD2,"Off","public"
  2,"yBuffer",7613,0x20005FD4,"Off","public"
  2,"zBuffer",-10152,0x20005FD6,"Off","public"
 1,"[42]",,0x20005FD8,"Off","public"
  2,"xBuffer",-105,0x20005FD8,"Off","public"
  2,"yBuffer",3406,0x20005FDA,"Off","public"
  2,"zBuffer",-4110,0x20005FDC,"Off","public"
 1,"[43]",,0x20005FDE,"Off","public"
