Level,Expression,Value,Location,Refresh,Access
0,"extractionBuffer",,0x20005EDC,"Off","private"
 1,"[0]",,0x20005EDC,"Off","public"
  2,"xBuffer",-5,0x20005EDC,"Off","public"
  2,"yBuffer",53,0x20005EDE,"Off","public"
  2,"zBuffer",16,0x20005EE0,"Off","public"
 1,"[1]",,0x20005EE2,"Off","public"
  2,"xBuffer",158,0x20005EE2,"Off","public"
  2,"yBuffer",-3,0x20005EE4,"Off","public"
  2,"zBuffer",32,0x20005EE6,"Off","public"
 1,"[2]",,0x20005EE8,"Off","public"
  2,"xBuffer",121,0x20005EE8,"Off","public"
  2,"yBuffer",14,0x20005EEA,"Off","public"
  2,"zBuffer",96,0x20005EEC,"Off","public"
 1,"[3]",,0x20005EEE,"Off","public"
  2,"xBuffer",63,0x20005EEE,"Off","public"
  2,"yBuffer",15,0x20005EF0,"Off","public"
  2,"zBuffer",28,0x20005EF2,"Off","public"
 1,"[4]",,0x20005EF4,"Off","public"
  2,"xBuffer",56,0x20005EF4,"Off","public"
  2,"yBuffer",62,0x20005EF6,"Off","public"
  2,"zBuffer",76,0x20005EF8,"Off","public"
 1,"[5]",,0x20005EFA,"Off","public"
  2,"xBuffer",22,0x20005EFA,"Off","public"
  2,"yBuffer",121,0x20005EFC,"Off","public"
  2,"zBuffer",-40,0x20005EFE,"Off","public"
 1,"[6]",,0x20005F00,"Off","public"
  2,"xBuffer",81,0x20005F00,"Off","public"
  2,"yBuffer",-132,0x20005F02,"Off","public"
  2,"zBuffer",108,0x20005F04,"Off","public"
 1,"[7]",,0x20005F06,"Off","public"
  2,"xBuffer",80,0x20005F06,"Off","public"
  2,"yBuffer",-38,0x20005F08,"Off","public"
  2,"zBuffer",106,0x20005F0A,"Off","public"
 1,"[8]",,0x20005F0C,"Off","public"
  2,"xBuffer",9,0x20005F0C,"Off","public"
  2,"yBuffer",53,0x20005F0E,"Off","public"
  2,"zBuffer",26,0x20005F10,"Off","public"
 1,"[9]",,0x20005F12,"Off","public"
  2,"xBuffer",14184,0x20005F12,"Off","public"
  2,"yBuffer",1110,0x20005F14,"Off","public"
  2,"zBuffer",8865,0x20005F16,"Off","public"
 1,"[10]",,0x20005F18,"Off","public"
  2,"xBuffer",-11268,0x20005F18,"Off","public"
  2,"yBuffer",-4278,0x20005F1A,"Off","public"
  2,"zBuffer",-8406,0x20005F1C,"Off","public"
 1,"[11]",,0x20005F1E,"Off","public"
  2,"xBuffer",8312,0x20005F1E,"Off","public"
  2,"yBuffer",-4210,0x20005F20,"Off","public"
  2,"zBuffer",-7738,0x20005F22,"Off","public"
 1,"[12]",,0x20005F24,"Off","public"
  2,"xBuffer",8362,0x20005F24,"Off","public"
  2,"yBuffer",6336,0x20005F26,"Off","public"
  2,"zBuffer",-7616,0x20005F28,"Off","public"
 1,"[13]",,0x20005F2A,"Off","public"
  2,"xBuffer",3128,0x20005F2A,"Off","public"
  2,"yBuffer",-370,0x20005F2C,"Off","public"
  2,"zBuffer",2417,0x20005F2E,"Off","public"
 1,"[14]",,0x20005F30,"Off","public"
  2,"xBuffer",-4635,0x20005F30,"Off","public"
  2,"yBuffer",-8842,0x20005F32,"Off","public"
  2,"zBuffer",6026,0x20005F34,"Off","public"
 1,"[15]",,0x20005F36,"Off","public"
  2,"xBuffer",1922,0x20005F36,"Off","public"
  2,"yBuffer",2360,0x20005F38,"Off","public"
  2,"zBuffer",-11625,0x20005F3A,"Off","public"
 1,"[16]",,0x20005F3C,"Off","public"
  2,"xBuffer",1892,0x20005F3C,"Off","public"
  2,"yBuffer",2323,0x20005F3E,"Off","public"
  2,"zBuffer",19301,0x20005F40,"Off","public"
 1,"[17]",,0x20005F42,"Off","public"
  2,"xBuffer",7679,0x20005F42,"Off","public"
  2,"yBuffer",-1277,0x20005F44,"Off","public"
  2,"zBuffer",19002,0x20005F46,"Off","public"
 1,"[18]",,0x20005F48,"Off","public"
  2,"xBuffer",-4953,0x20005F48,"Off","public"
  2,"yBuffer",274,0x20005F4A,"Off","public"
  2,"zBuffer",-4030,0x20005F4C,"Off","public"
 1,"[19]",,0x20005F4E,"Off","public"
  2,"xBuffer",-3490,0x20005F4E,"Off","public"
  2,"yBuffer",-1362,0x20005F50,"Off","public"
  2,"zBuffer",-5154,0x20005F52,"Off","public"
 1,"[20]",,0x20005F54,"Off","public"
  2,"xBuffer",8289,0x20005F54,"Off","public"
  2,"yBuffer",-2971,0x20005F56,"Off","public"
  2,"zBuffer",10363,0x20005F58,"Off","public"
 1,"[21]",,0x20005F5A,"Off","public"
  2,"xBuffer",-11812,0x20005F5A,"Off","public"
  2,"yBuffer",32,0x20005F5C,"Off","public"
  2,"zBuffer",3237,0x20005F5E,"Off","public"
 1,"[22]",,0x20005F60,"Off","public"
  2,"xBuffer",1222,0x20005F60,"Off","public"
  2,"yBuffer",745,0x20005F62,"Off","public"
  2,"zBuffer",-14258,0x20005F64,"Off","public"
 1,"[23]",,0x20005F66,"Off","public"
  2,"xBuffer",-4219,0x20005F66,"Off","public"
  2,"yBuffer",1438,0x20005F68,"Off","public"
  2,"zBuffer",-15966,0x20005F6A,"Off","public"
 1,"[24]",,0x20005F6C,"Off","public"
  2,"xBuffer",635,0x20005F6C,"Off","public"
  2,"yBuffer",-1534,0x20005F6E,"Off","public"
  2,"zBuffer",2681,0x20005F70,"Off","public"
 1,"[25]",,0x20005F72,"Off","public"
  2,"xBuffer",268,0x20005F72,"Off","public"
  2,"yBuffer",2438,0x20005F74,"Off","public"
  2,"zBuffer",14421,0x20005F76,"Off","public"
 1,"[26]",,0x20005F78,"Off","public"
  2,"xBuffer",1589,0x20005F78,"Off","public"
  2,"yBuffer",-437,0x20005F7A,"Off","public"
  2,"zBuffer",6670,0x20005F7C,"Off","public"
 1,"[27]",,0x20005F7E,"Off","public"
  2,"xBuffer",190,0x20005F7E,"Off","public"
  2,"yBuffer",4,0x20005F80,"Off","public"
  2,"zBuffer",-1774,0x20005F82,"Off","public"
 1,"[28]",,0x20005F84,"Off","public"
  2,"xBuffer",-654,0x20005F84,"Off","public"
  2,"yBuffer",2703,0x20005F86,"Off","public"
  2,"zBuffer",-7550,0x20005F88,"Off","public"
 1,"[29]",,0x20005F8A,"Off","public"
  2,"xBuffer",-236,0x20005F8A,"Off","public"
  2,"yBuffer",1024,0x20005F8C,"Off","public"
  2,"zBuffer",252,0x20005F8E,"Off","public"
 1,"[30]",,0x20005F90,"Off","public"
  2,"xBuffer",-2925,0x20005F90,"Off","public"
  2,"yBuffer",185,0x20005F92,"Off","public"
  2,"zBuffer",-1643,0x20005F94,"Off","public"
 1,"[31]",,0x20005F96,"Off","public"
  2,"xBuffer",-1833,0x20005F96,"Off","public"
  2,"yBuffer",830,0x20005F98,"Off","public"
  2,"zBuffer",-4163,0x20005F9A,"Off","public"
 1,"[32]",,0x20005F9C,"Off","public"
  2,"xBuffer",1023,0x20005F9C,"Off","public"
  2,"yBuffer",-283,0x20005F9E,"Off","public"
  2,"zBuffer",2120,0x20005FA0,"Off","public"
 1,"[33]",,0x20005FA2,"Off","public"
  2,"xBuffer",-1662,0x20005FA2,"Off","public"
  2,"yBuffer",-511,0x20005FA4,"Off","public"
  2,"zBuffer",1176,0x20005FA6,"Off","public"
 1,"[34]",,0x20005FA8,"Off","public"
  2,"xBuffer",-1782,0x20005FA8,"Off","public"
  2,"yBuffer",-193,0x20005FAA,"Off","public"
  2,"zBuffer",2277,0x20005FAC,"Off","public"
 1,"[35]",,0x20005FAE,"Off","public"
  2,"xBuffer",896,0x20005FAE,"Off","public"
  2,"yBuffer",-611,0x20005FB0,"Off","public"
  2,"zBuffer",-447,0x20005FB2,"Off","public"
 1,"[36]",,0x20005FB4,"Off","public"
  2,"xBuffer",-1287,0x20005FB4,"Off","public"
  2,"yBuffer",1319,0x20005FB6,"Off","public"
  2,"zBuffer",-26,0x20005FB8,"Off","public"
 1,"[37]",,0x20005FBA,"Off","public"
  2,"xBuffer",619,0x20005FBA,"Off","public"
  2,"yBuffer",-1464,0x20005FBC,"Off","public"
  2,"zBuffer",-487,0x20005FBE,"Off","public"
 1,"[38]",,0x20005FC0,"Off","public"
  2,"xBuffer",-695,0x20005FC0,"Off","public"
  2,"yBuffer",1015,0x20005FC2,"Off","public"
  2,"zBuffer",-255,0x20005FC4,"Off","public"
 1,"[39]",,0x20005FC6,"Off","public"
  2,"xBuffer",1155,0x20005FC6,"Off","public"
  2,"yBuffer",402,0x20005FC8,"Off","public"
  2,"zBuffer",-54,0x20005FCA,"Off","public"
 1,"[40]",,0x20005FCC,"Off","public"
  2,"xBuffer",1530,0x20005FCC,"Off","public"
  2,"yBuffer",-412,0x20005FCE,"Off","public"
  2,"zBuffer",3051,0x20005FD0,"Off","public"
 1,"[41]",,0x20005FD2,"Off","public"
  2,"xBuffer",-484,0x20005FD2,"Off","public"
  2,"yBuffer",871,0x20005FD4,"Off","public"
  2,"zBuffer",-2005,0x20005FD6,"Off","public"
 1,"[42]",,0x20005FD8,"Off","public"
  2,"xBuffer",-373,0x20005FD8,"Off","public"
  2,"yBuffer",1051,0x20005FDA,"Off","public"
  2,"zBuffer",32,0x20005FDC,"Off","public"
 1,"[43]",,0x20005FDE,"Off","public"
  2,"xBuffer",922,0x20005FDE,"Off","public"
